Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
320,One Hundred Years of Solitude,Gabriel García Márquez,"Márquez, Gabriel García",Gregory Rabassa,"=""""","=""""",5,4.11,Harper,Mass Market Paperback,417,2003,1967,2022/01/15,2020/05/09,,,read,,,,2,0
785454,Train to Pakistan,Khushwant Singh,"Singh, Khushwant",Arthur Lall,"=""0802132219""","=""9780802132215""",0,3.93,Grove Press,Paperback,181,1994,1956,,2022/01/01,,,read,,,,1,0
2165,The Old Man and the Sea,Ernest Hemingway,"Hemingway, Ernest",,"=""0684830493""","=""9780684830490""",0,3.80,Scribner,Hardcover,96,1996,1952,,2022/01/01,,,read,,,,1,0
18135,Romeo and Juliet,William Shakespeare,"Shakespeare, William",,"=""""","=""""",0,3.74,Washington Square Press,Mass Market Paperback,281,2002,1597,,2021/12/24,,,read,,,,1,0
58455477,Hashimpura 22 May (Hindi Edition),Vibhuti Narayan Rai,"Rai, Vibhuti Narayan",,"=""""","=""""",5,4.00,Radhakrishna Prakashan,Kindle Edition,135,2021,,,2021/12/24,,,read,on 22 May the soldiers of PAC killed innocent muslims by opening fire on them. A black day in the history of Indian Democracy. ,,,1,0
321559,The Country Without a Post Office,Agha Shahid Ali,"Ali, Agha Shahid",,"=""0393317617""","=""9780393317619""",0,4.28,W. W. Norton & Company,Paperback,98,1998,1997,,2021/12/24,,,read,,,,1,0
868210,तमस,Bhisham Sahni,"Sahni, Bhisham",,"=""8126715391""","=""9788126715398""",0,4.16,Rajkamal Prakashan,Hardcover,310,2009,1972,,2021/12/24,,,read,,,,1,0
28373111,Ishq Mein Shahar Hona,Ravish Kumar,"Kumar, Ravish",,"=""""","=""""",0,3.75,,,,,2015,,2021/12/24,,,read,,,,1,0
34265228,Aurangzeb: The Man and the Myth,Audrey Truschke,"Truschke, Audrey",,"=""0670089818""","=""9780670089819""",5,3.52,Penguin Random House India,Hardcover,189,2017,2017,,2021/12/05,,,read,"A glimpse into the life of demonised mughal ruler. As the subtitle suggests, this book differentiated between what's the truth and what is the myth. Do not get swayed by the hindutva narrative.",,,1,0
37793,A Doll's House,Henrik Ibsen,"Ibsen, Henrik",,"=""1406914835""","=""9781406914832""",5,3.76,Hard Press,Paperback,122,2007,1879,,2021/12/20,,,read,,,,1,0
54539,Silas Marner,George Eliot,"Eliot, George",,"=""""","=""""",0,3.67,Simon  Schuster,Paperback,262,2005,1861,2021/12/20,2021/03/23,,,read,,,,1,0
11692391,Gaban,Munshi Premchand,"Premchand, Munshi",मुंशी प्रेमचंद,"=""8122311962""","=""9788122311969""",5,4.31,Cedar Books,Paperback,272,2011,1931,,2021/08/05,,,read,,,,1,0
36322428,Seva Sadan,Munshi Premchand,"Premchand, Munshi",,"=""""","=""""",5,4.07,,Kindle Edition,256,2017,1918,,2021/08/05,,,read,,,,1,0
38435528,"The Free Voice: On Democracy, Culture and the Nation",Ravish Kumar,"Kumar, Ravish",,"=""9387164780""","=""9789387164789""",5,4.18,Speaking Tiger Books,Hardcover,176,2018,2018,,2021/04/11,,,read,,,,1,0
1427,The Zahir,Paulo Coelho,"Coelho, Paulo",,"=""0060832819""","=""9780060832810""",0,3.58,HarperOne,Paperback,336,2021,2005,,2021/08/05,,,read,,,,1,0
49382648,Celestial Bodies,Jokha Alharthi,"Alharthi, Jokha",Marilyn Booth,"=""1948226944""","=""9781948226943""",5,3.41,Catapult,Paperback,256,2019,2010,,2021/08/05,,,read,A delightful read. I've read very few Arab and Middle-East fiction but this book blew my mind. I have to admit that Arab writers are really really talented. It is high time that we should deviate ourselves from the canonical English authors to the more diverse and heterogeneous world literature. ,,,2,0
29083881,Mout ki Kitaab / موت کی کتاب,Khalid Javed,"Javed, Khalid",,"=""9695680704""","=""9789695680704""",0,3.76,"Scheherzade, Karachi.",Hardcover,160,2012,2011,,2021/06/22,,,read,,,,1,0
2153793,A Case of Exploding Mangoes,Mohammed Hanif,"Hanif, Mohammed",,"=""0307268071""","=""9780307268075""",0,3.76,Knopf,Hardcover,323,2008,2008,,2021/06/19,,,read,,,,1,0
9557,Sputnik Sweetheart,Haruki Murakami,"Murakami, Haruki",Philip Gabriel,"=""0099448475""","=""9780099448471""",0,3.83,Vintage,Paperback,229,2002,1999,,2021/06/19,,,read,,,,1,0
4929,Kafka on the Shore,Haruki Murakami,"Murakami, Haruki",Philip Gabriel,"=""1400079276""","=""9781400079278""",0,4.14,Vintage International,Paperback,467,2006,2002,,2021/06/19,,,read,,,,1,0
11331177,"The Good Muslim (Bangla Desh, #2)",Tahmima Anam,"Anam, Tahmima",,"=""0061478768""","=""9780061478765""",0,3.70,Harper,Hardcover,304,2011,2011,,2021/06/19,,,read,,,,1,0
15698724,चित्रलेखा,Bhagwaticharan Verma,"Verma, Bhagwaticharan",,"=""""","=""9788126715855""",0,4.30,Rajkamal Prakashan,Paperback,200,2008,1934,,2021/06/19,,,read,,,,1,0
3282557,गुनाहों का देवता,Dharamvir Bharati,"Bharati, Dharamvir",धर्मवीर भारती,"=""8126317779""","=""9788126317783""",0,4.31,Bhartiya Jnanpith,Paperback,257,2009,1949,,2021/06/19,,,read,,,,1,0
694207,Nirmala,Munshi Premchand,"Premchand, Munshi",मुंशी प्रेमचंद,"=""0195658264""","=""9780195658262""",0,4.14,Oxford University Press,Paperback,218,2001,1899,,2021/06/19,,,read,,,,1,0
39905685,कंकाल,जयशंकर प्रसाद,"प्रसाद, जयशंकर",Jaishankar Prasad,"=""""","=""""",0,4.00,Rajpal and Sons,Kindle Edition,176,,,,2021/06/19,,,read,,,,1,0
